,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,111.786138072593,-1.27962172478763,1.41303890796277,-0.905581380368717,0.365157467733498,0.910251639247705
35kd_ag,4499.34752530388,0.744177980162239,1.60196677597906,0.464540208524252,0.642260758866182,0.96914428841941
MTS2823,8.07692691349954,-1.25420213513743,2.3011844729662,-0.545024594886465,0.585736602151567,NA
P55,1590.45325380894,-1.63026009331547,1.20304182819458,-1.35511505511162,0.175380902776849,0.775947232276613
PE1,380.101428298392,1.184095331261,1.25726408765197,0.941803192257229,0.346293410512512,0.904574435425127
PE12,923.394100461495,-0.938711374154351,1.35620060713261,-0.692162626397175,0.488835206201442,0.951065144899223
PE13,1372.70613379515,0.56873168424067,1.2220443319851,0.465393659914791,0.641649573627535,0.96914428841941
PE14,46.920841288581,0.979551718777514,1.50804066748426,0.649552588267809,0.515981266875556,NA
PE15,159.6851975686,-1.0173357391061,1.37156577984723,-0.741733100996011,0.458249060368824,0.937098914427664
PE16,223.096172506691,1.21564196670612,1.26150167068636,0.963646735437708,0.335223067248354,0.898242698094205
PE17,599.326487438553,-0.533702047029317,1.34716289753608,-0.396167418213077,0.691981525593036,0.970595276482848
PE18,3.59825313570595,5.22534537520008,4.08615078838647,1.27879406458797,0.200969584597319,NA
PE19,3087.09596612432,0.0247161409694892,1.38471299895416,0.0178492878944277,0.98575908495738,0.995420569298461
PE2,161.452087400556,1.03831631558859,1.25403836413748,0.827978110783504,0.407682896464864,0.933506550000707
PE20,140.599715637049,1.36908035031764,1.27669381716953,1.07236389172224,0.283556619596595,0.876240633881683
PE22,203.885647355369,1.22252968722162,1.37043350675049,0.892075158115793,0.372352649085179,0.914017028905254
PE23,333.668628501636,-1.40419093765958,1.21351451645732,-1.15712743326624,0.247220300017619,0.854662716292255
PE24,71.0627430590695,2.95752287864761,1.44114829414787,2.05219885466148,0.0401503407533828,NA
PE25,1102.99395573503,-0.960808524646281,1.5072110983524,-0.637474422591888,0.523815865164894,0.961952667374084
PE26,1348.35094029844,-1.00159322024075,1.40554773048463,-0.712599934187504,0.476093352499189,0.94497249194287
PE27,87.3921525785416,2.09604176356023,1.32295778663885,1.58436027568613,0.113111756350905,0.73300177380814
PE29,63.236543080448,3.16880439183043,1.52343849396738,2.08003434623615,0.0375223826716914,NA
PE3,226.524033846503,2.25810442449675,1.280689135342,1.76319480050382,0.0778676404309859,0.642762931010325
PE31,394.312666913978,-1.97345423097847,1.23811835872135,-1.5939140366326,0.110955290091029,0.732977370904374
PE32,60.8989585352212,2.63757669433315,1.45841327772799,1.80852487742167,0.0705248485329855,NA
PE33,16.7690236672012,1.80741182668634,1.85733254213107,0.973122359990823,0.330492492231797,NA
PE34,86.3756070661475,1.32029285746062,1.33423604633543,0.989549683571282,0.322394274064662,0.897947873177832
PE35,619.520689630581,0.363105297520096,1.37433497958875,0.264204362773879,0.791622449472613,0.980044460642373
PE36,135.805083494022,-1.43305872617818,1.26886909150305,-1.1293984034875,0.258729806034178,0.860729498350685
PE4,182.928359495981,2.5677311151737,1.26107992449457,2.03613669942675,0.0417366304480216,0.539528990305625
PE5,38.7938585090807,-1.98827596424625,1.49681838642366,-1.32833480820398,0.18406752548542,NA
PE6,64.8994034825215,4.73632382419457,1.52693931903808,3.10184155004817,0.00192320869059947,NA
PE7,63.4624126972584,0.562706161071587,1.35885466925409,0.414103269322004,0.678798478603472,NA
PE8,92.4351780432032,2.72807243091939,1.34266705084775,2.03183092129721,0.042170775696065,0.539528990305625
PE9,90.2242752263258,2.69338413515201,1.36449299158794,1.97390836871764,0.0483921630153953,0.56219860857384
PE_PGRS1,166.118090282097,0.964345814990003,1.32699759447002,0.726712556984813,0.467402059485566,0.940897356031238
PE_PGRS10,179.79747719308,1.14964660235904,1.34390234021993,0.855453977534483,0.392299872296723,0.928986151266234
PE_PGRS11,410.941246288309,2.23618501702341,1.21317080355827,1.8432565393633,0.0652915633618286,0.617862474324125
PE_PGRS12,10.9981704869764,2.07623628324747,2.05280442923594,1.01141455741122,0.311818056605042,NA
PE_PGRS13,10.0683366744068,6.89203472735172,2.97324752672556,2.31801579431293,0.0204484626897328,NA
PE_PGRS14,315.251933213521,0.512990749305586,1.22282567264579,0.419512577124458,0.674841564896707,0.970595276482848
PE_PGRS15,506.855926193836,1.31617373255924,1.26583702093732,1.03976555495639,0.298448835703665,0.886058876752035
PE_PGRS16,272.265646643712,-0.0834241880378479,1.21942233834512,-0.0684128750265993,0.945456973054263,0.989493350007811
PE_PGRS17,65.119574211372,3.44404806748585,1.48642482765566,2.31700117181014,0.0205036679340311,NA
PE_PGRS18,71.6445817049012,3.05235951730818,1.39828421332007,2.18293211654066,0.0290408094777592,0.493693761121906
PE_PGRS19,27.6257116257766,3.81700265166399,1.72040645597252,2.21866329227782,0.0265096401129384,NA
PE_PGRS2,16.9690709152672,1.32777372878935,1.78718571830458,0.742941102981141,0.457517339250569,NA
PE_PGRS20,90.277364139006,1.31579782763623,1.35536006410267,0.970810534031314,0.331642635963821,0.898242698094205
PE_PGRS21,102.898999183251,0.825982723951473,1.29729849692464,0.636694427619811,0.524323903965367,0.961952667374084
PE_PGRS22,66.1555508719403,2.10217886155668,1.51092891558894,1.39131552773101,0.164129767228042,NA
