,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,1620.20988080173,0.113064169298638,0.185629689705911,0.609084513785287,0.542468421793997,0.999381408187443
35kd_ag,2449.72159515983,-0.249898421151021,0.152063201202145,-1.64338524492076,0.100303251002835,0.994621335940066
C8,0.747399985838944,2.77355319013748,4.84768536538439,0.572139687518181,0.56722734370128,0.999381408187443
MTS2823,3.08358066211373,-0.641853950417378,3.73258304053937,-0.171959724256966,0.863469192653205,0.999381408187443
P55,7434.56951512385,-0.069668133901244,0.103264036227362,-0.674660186125706,0.499891685135279,0.999381408187443
PE1,3330.27829011596,0.104558490618993,0.144775342704558,0.722212005620081,0.470164143196454,0.999381408187443
PE12,2797.15909824152,-0.248231628252473,0.157207588369683,-1.57900538279832,0.114334822394864,0.999381408187443
PE13,6722.33690420614,-0.478620164157168,0.922066974175619,-0.519073101587964,0.603709765029901,0.999381408187443
PE14,1430.64520938229,-0.0914708372176646,0.197838600771281,-0.462350809503616,0.64382976864615,0.999381408187443
PE15,761.006303797374,0.539402658583619,0.414384883948299,1.30169482401032,0.193020729687523,0.999381408187443
PE16,4137.96275904769,0.0740581966739376,0.127191935241657,0.582255443580062,0.560394632813479,0.999381408187443
PE17,2139.30582094102,0.081059214537377,0.177172036780892,0.457516976212351,0.647299503159137,0.999381408187443
PE18,246.36981748456,-11.6378446657565,1.51617870511137,-7.67577372411499,1.6442314646372e-14,1.80865461110092e-12
PE19,5616.00729017326,-0.384095455997924,0.63138452996949,-0.608338401982203,0.542963056376277,0.999381408187443
PE2,2799.13838615588,0.000273674443005556,0.144938346102027,0.00188821281852427,0.998493425039833,0.999381408187443
PE20,2187.11129099989,0.297177157871951,0.185874027691967,1.59880948167991,0.109862941606928,0.999381408187443
PE22,683.255863365252,0.0020114278136894,0.260756764997704,0.00771380874320599,0.993845332135579,0.999381408187443
PE23,3070.22679146511,0.222579050978667,0.141180884669575,1.57655231796853,0.114898571578724,0.999381408187443
PE24,2595.14703276611,0.0324495005622519,0.143720600017629,0.225781833350763,0.821371107149051,0.999381408187443
PE25,735.925671168311,0.300298661117986,0.258629565033023,1.16111497569754,0.245595145334659,0.999381408187443
