,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,520.841528868916,0.201930640645881,0.294734510161506,0.685127237170934,0.493263634158641,0.540765644984805
35kd_ag,3974.59897980417,-3.28118787164133,0.279363079798215,-11.7452451985114,7.47055040932015e-32,1.0968443638357e-30
C8,0.246397426173537,-0.407363953134396,4.84803926652171,-0.084026537480309,0.933035332517234,0.945066735902369
MTS2823,29.388296400648,-6.23858404056276,0.974297897230851,-6.40315868308251,1.5219486464805e-10,5.39724903751888e-10
P55,6619.54684203517,-2.17427706573739,0.252080142400601,-8.62534051683479,6.39022303695244e-18,4.31477380704253e-17
PE1,1051.97763699462,0.259963118437505,0.343791918138847,0.756164135110684,0.449550792976188,0.496422888307585
PE12,2043.66910226074,-1.93758895577402,0.252261532858172,-7.68087363071476,1.58007289081584e-14,8.28351894818138e-14
PE13,3943.51323344763,-1.68745608769388,0.553491913907078,-3.04874569130052,0.00229798919963103,0.00356263917692798
PE14,287.903736966866,1.82967119291704,0.478940948691179,3.8202438065007,0.000133319822971589,0.000242413705889312
PE15,758.909341700728,-2.02047615048318,0.518290395430895,-3.89834766049139,9.68513001137765e-05,0.000178304756811027
PE16,958.187799682752,1.42369953678352,0.288408351796004,4.93640190347376,7.95770347508824e-07,1.85482969723496e-06
PE17,1875.19685758389,-2.05574218166622,0.256045914050206,-8.02880291721086,9.84283264530709e-16,5.61613441372062e-15
PE19,7160.83186922057,-2.97298913201292,0.440738422801077,-6.74547300214565,1.52529297055813e-11,6.00058912373997e-11
PE2,715.145926149568,0.903949995711647,0.307004882766829,2.94441569647021,0.00323565082951649,0.00492558861741319
PE20,517.042328222376,1.76297869043487,0.345074201248334,5.10898434034521,3.23895193958484e-07,7.92584656867257e-07
PE22,450.460723877761,-1.54917490798006,0.523945428765016,-2.95674859046218,0.00310901502696247,0.00474968811088302
PE23,2040.35053908707,-1.44524628330853,0.299403716860655,-4.82708196966426,1.38548106245879e-06,3.14839549053436e-06
PE24,486.473406113204,2.89873309609793,0.424105916360553,6.83492727706628,8.20466392943153e-12,3.3163448627282e-11
PE25,2520.80666185986,-4.14958027807686,0.271692848080311,-15.2730567160541,1.15623673260737e-52,4.50358985188307e-51
PE26,2718.68901689706,-2.42657566056753,0.287741000921671,-8.43319392368448,3.36356640131661e-17,2.1805348623666e-16
PE27,378.475502059176,2.40244752299065,0.379590709213667,6.32904722027415,2.46679618352695e-10,8.56112696094441e-10
PE29,377.060941626371,3.24284080141344,0.43464441321033,7.46090528913386,8.5930004817863e-14,4.25407681414483e-13
PE3,871.307794743894,2.40744567563466,0.304064283103544,7.91755496917355,2.4222655075712e-15,1.34942521716112e-14
PE31,951.392699541945,-1.85128974310586,0.267471671968172,-6.92144229511585,4.47068246934714e-12,1.87792571105464e-11
PE32,239.466244608421,2.1906143815326,0.420239530907428,5.21277562061423,1.86035864322766e-07,4.67121485643684e-07
PE33,120.551422996568,2.17482035481156,0.494256071728773,4.40018945483995,1.08156408097169e-05,2.22109434144643e-05
PE34,491.043616402985,1.29189304305666,0.377223264527418,3.42474381763047,0.000615379392554678,0.00102530634600293
PE35,1805.93585764811,-3.01414949438889,0.304369102823002,-9.90294174550857,4.04207058918579e-23,3.76487721083649e-22
PE36,503.846191453181,-1.07688635687725,0.325494649303938,-3.30846101212462,0.000938102455313399,0.00152773907114445
PE4,794.371502690472,2.28187335083863,0.312955910011649,7.29135727378881,3.06847848233913e-13,1.44328733405832e-12
PE5,123.017375597248,-3.39970147452804,0.523377328410612,-6.49569878170348,8.26488771197489e-11,3.01722817866287e-10
PE6,432.748308202084,3.38946207764364,0.41289946355272,8.20892826665265,2.23171504010947e-16,1.35892415814418e-15
PE7,189.47755155811,0.0133927206129587,0.379636849870187,0.0352777150519983,0.971858293080261,0.977249442135112
PE8,430.608951818508,1.74840488937069,0.355736449046593,4.91488823834773,8.88331209701331e-07,2.0600936320411e-06
PE9,447.242573935446,2.96765591414871,0.38464954531714,7.71522012771887,1.20773603475684e-14,6.39557295708875e-14
PE_PGRS1,727.256675628183,2.39967033021521,0.336716208037932,7.1266849439718,1.02815061320983e-12,4.60177952522119e-12
PE_PGRS10,375.239174112884,0.125267184247062,0.310994466692948,0.40279554031661,0.687098642199958,0.727074258972732
PE_PGRS11,1411.04289439133,1.76678120150562,0.405959638007325,4.35211049595464,1.34833273811149e-05,2.7426379778677e-05
PE_PGRS12,74.0737719292198,1.71068701976496,0.607240247603066,2.81715025727871,0.00484518524092855,0.00723095568096778
PE_PGRS13,68.9259342975338,1.93464354223084,0.60865862272295,3.17853632562674,0.00148020669164945,0.0023512686679285
PE_PGRS14,1672.06859963616,-0.281334603564702,0.284078430053284,-0.990341306490368,0.322007323180201,0.366309561706079
PE_PGRS15,928.288213181592,-0.837640595945205,0.266550432735123,-3.14252198861589,0.00167499131812782,0.00264374885543751
PE_PGRS16,1065.18237464754,0.662651767410277,0.29802169240444,2.22350179298695,0.0261819826198756,0.0357254441480816
PE_PGRS17,429.226219800537,3.61184664140806,0.492599078337078,7.33222370939259,2.26364812790085e-13,1.08361303105118e-12
PE_PGRS18,498.929859642045,2.38271859748767,0.363921949813402,6.54733411576132,5.85732237824124e-11,2.16175100772521e-10
PE_PGRS19,55.1515707962529,4.44330061172642,0.987297304889495,4.50046869339296,6.78037909162154e-06,1.4227928165099e-05
PE_PGRS2,87.2574457497935,2.11592508780041,0.569251551246575,3.71702998993477,0.000201578523124123,0.000358505501692073
PE_PGRS20,515.504653868564,0.98798837566856,0.538944066680804,1.83319278706098,0.0667739061749889,0.085564279446091
PE_PGRS21,509.497381994926,1.34569321378985,0.339647699115873,3.96202658605603,7.43162626237749e-05,0.000138713879503307
PE_PGRS22,384.412933853269,2.54675716179883,0.540361722601374,4.71305989169328,2.44024435650275e-06,5.3893494152753e-06
PE_PGRS23,472.306688444126,2.02959882376516,0.33291072029182,6.09652588533668,1.08398403601617e-09,3.50880272097816e-09
PE_PGRS24,401.395291150054,1.81368619372083,0.354859766128997,5.11099416399188,3.20467885204174e-07,7.85013068070308e-07
PE_PGRS25,894.532256286749,-2.54846458847515,0.34744245264477,-7.33492573827968,2.21844461838e-13,1.06471787030804e-12
PE_PGRS26,355.816140984717,1.59801393407404,0.376547963369615,4.24385228318297,2.19715011710375e-05,4.37295967141468e-05
PE_PGRS27,202.837048138918,2.73975897140521,0.456197042136953,6.00564825797955,1.90568933741963e-09,5.97175122823053e-09
PE_PGRS28,415.44143860209,2.85522448244504,0.381090113152281,7.49225546374675,6.7699986070639e-14,3.39797693664453e-13
PE_PGRS29,165.849141048339,0.759399640900728,0.487314989693735,1.55833425394526,0.119154032996121,0.146548266573778
PE_PGRS30,1687.93239082029,0.904401143726578,0.255207631254291,3.54378565907939,0.000394425765114689,0.000674013281720642
PE_PGRS31,928.461679894648,1.04755542479505,0.287343534152081,3.64565511413461,0.00026671147899511,0.000467464187617685
PE_PGRS32,1466.90270103578,1.14652966514668,0.269339111338528,4.25682575192588,2.07349834676371e-05,4.13909263375577e-05
PE_PGRS33,322.207255802239,-1.28228120166622,0.48576637221192,-2.63970763523091,0.00829775761759757,0.0120776194106663
PE_PGRS34,176.299685663321,1.00308013168004,0.410450617298665,2.4438509516241,0.0145314285444678,0.0204865757493498
PE_PGRS35,1595.58944246772,0.10509675277304,0.308072204545833,0.341143248960014,0.732995743984325,0.770602039125167
PE_PGRS37,185.258560367104,2.48759249036349,0.541874245259307,4.59071917908386,4.41721322711351e-06,9.44570142440379e-06
PE_PGRS38,1010.30801990744,-0.590530560426219,0.348931890349679,-1.69239492507958,0.0905706993374486,0.113738264315853
PE_PGRS39,949.565052830315,1.02278810457626,0.320414298754669,3.19208009302786,0.00141252158897846,0.00224754025957309
PE_PGRS4,411.765601199211,1.42795352127819,0.350488456055799,4.07418132211137,4.61764952263433e-05,8.8503384303276e-05
PE_PGRS40,156.988451871343,2.16540517021259,0.516963393533169,4.18870116782002,2.80555547604619e-05,5.51170611029832e-05
PE_PGRS41,1054.2255562898,-1.22362730840489,0.279560833911378,-4.37696257835885,1.20344626445683e-05,2.45960201404382e-05
PE_PGRS42,330.000650199358,2.90591259075138,0.433308448135604,6.70633725987722,1.99570183391106e-11,7.7797706726409e-11
PE_PGRS43,388.00465354446,3.18490836535103,0.393478311403026,8.09424121495945,5.76224043890404e-16,3.34039842417647e-15
PE_PGRS44,1724.45040084895,-1.76033019126495,0.262122928516391,-6.7156665814333,1.8720841914251e-11,7.30996917496811e-11
PE_PGRS45,422.572328187665,1.95679027415328,0.449556343940698,4.35271418261068,1.34462401440809e-05,2.73627503450143e-05
PE_PGRS46,1079.10455952961,1.51352711808613,0.279608790222481,5.41301694013926,6.19716249234935e-08,1.64640511986711e-07
PE_PGRS47,1166.56877286071,0.172701254896715,0.286984869723456,0.601778257728823,0.54732174968221,0.59326757273511
PE_PGRS48,517.020837547475,0.759174573610683,0.297933814267259,2.54813162271561,0.0108301600358882,0.0155286109671861
PE_PGRS49,6.10146964635506,1.56574082510297,1.85485246016032,0.84413227398563,0.39859549470923,0.445055808236105
PE_PGRS5,522.395318310293,-0.387383001313002,0.286575643432171,-1.35176526753464,0.176450418376203,0.210694406335709
PE_PGRS50,309.693370514206,2.92622850268272,0.484261627107211,6.04266028709081,1.51593622668427e-09,4.82092269660118e-09
PE_PGRS51,712.649559441384,1.3019934927879,0.353303595703349,3.6851974013905,0.000228525449620364,0.000403385934105159
PE_PGRS52,98.7769581022611,2.5732567740575,0.650127556596891,3.95807983825094,7.55547052370429e-05,0.00014096964599453
PE_PGRS53,367.906028099033,2.20140429839674,0.421013872416364,5.22881653699917,1.705985501729e-07,4.30653972664637e-07
PE_PGRS54,439.79719365356,-1.0624384070439,0.3182410220589,-3.33847094937769,0.00084240838463398,0.00138144422991647
PE_PGRS55,388.229574830072,1.85128607771227,0.34528358202136,5.36163945842565,8.24700172145267e-08,2.16535482524827e-07
PE_PGRS56,20.8560558207531,2.35617167728806,1.07446806797136,2.19287268511999,0.028316553217481,0.0383604240626582
PE_PGRS57,462.295709159015,1.37301901951972,0.46457777259144,2.95541263599621,0.00312251117343243,0.00476412921993754
PE_PGRS58,130.106200984812,2.53891566278535,0.660421591006055,3.84438621838164,0.000120854542356333,0.000220571680845089
PE_PGRS59,771.715976712821,0.0141287548199588,0.28004654117926,0.0504514526780561,0.959762635251631,0.967522215851818
PE_PGRS6,538.79124520039,0.88879086967621,0.35625968374867,2.49478374966285,0.0126033913512544,0.0179184867084349
PE_PGRS60,121.750931137293,1.79288418733544,0.487602409378244,3.67693873707802,0.000236049701564605,0.000416355630042658
PE_PGRS61,17.6000956592326,2.79451149901835,1.27904754157094,2.1848378642643,0.0289007367028248,0.0391068538847009
PE_PGRS62,1283.33895397709,0.227687101918557,0.330166355547984,0.689613275527907,0.490437416625896,0.538167996404622
PE_PGRS7,2364.71079889002,-1.96850716682451,0.362698244203293,-5.42739646051653,5.71820179985262e-08,1.52863783792997e-07
PE_PGRS9,78.2153685826684,2.2025330196086,0.610977505158998,3.60493308020468,0.000312233372845018,0.00054200953451881
PPE1,924.125281497615,1.87479258634186,0.31502677807805,5.95121658476082,2.66156594113612e-09,8.17196109483684e-09
PPE10,1508.84334200035,0.59280437459058,0.302879797725308,1.95722652696769,0.0503208413359108,0.0655506150403945
PPE11,1001.1858541613,1.4480327477405,0.287373882627614,5.03884603047556,4.68347054114195e-07,1.12331789620367e-06
PPE12,7497.43622367911,-2.6408890822986,0.410972080380725,-6.42595740287778,1.31042097556426e-10,4.69301980078597e-10
PPE13,1056.34530007441,0.627637514529373,0.3532503320862,1.77674996318536,0.0756093877958652,0.0958695304498016
PPE14,297.843640837405,1.23841916078838,0.356656551713918,3.47230172791484,0.000516016020196101,0.000867017291687781
PPE15,388.598644330724,1.65382713575351,0.374398643508164,4.41728933699368,9.99464019213137e-06,2.05967377461806e-05
PPE16,1151.65382520385,0.656059141483713,0.296642237721933,2.21161742347255,0.0269931104995767,0.0367577375858147
PPE17,1235.23094488341,-0.394373284289985,0.262405516136936,-1.50291537348697,0.132860868103906,0.162011195698243
PPE18,8655.10571358115,-2.97783677133464,0.50353240513004,-5.91389301065062,3.341149570278e-09,1.01135760595505e-08
PPE19,1903.09205713761,0.210745908233036,0.343167402018216,0.614119834790861,0.53913614212432,0.58588122958816
PPE2,1077.77847585796,2.06878637234219,0.304261927609158,6.79935997447459,1.05084945333628e-11,4.20072389616107e-11
PPE20,38748.1925562063,-6.50561183120008,0.410002267360783,-15.8672581814662,1.068057749005e-56,4.84015016448129e-55
PPE21,2236.15299392852,0.15759462295215,0.340448016794221,0.462903630445894,0.643433445136714,0.687018991148467
PPE22,572.231285804991,1.87249726524014,0.351501175858218,5.32714367361157,9.97692452083327e-08,2.59070221855026e-07
PPE23,1273.18368665611,-0.0528853494733648,0.287108494404284,-0.184199877412528,0.853856655645672,0.878460252795908
PPE24,2079.66336653948,1.10250724849838,0.314153267124804,3.50945657382066,0.000449023376885357,0.000761239991100967
PPE25,689.900990533329,-1.52950687796081,0.375786990188336,-4.07014324044122,4.69842404688898e-05,9.00149289958851e-05
PPE27,788.637912419045,0.956186524882036,0.298407342048819,3.20429959369299,0.00135391510763328,0.00215939150669227
PPE28,1573.53580812051,1.4273858092242,0.321307181887531,4.44243356416426,8.89471016686095e-06,1.8459167334397e-05
PPE29,897.651995951395,2.73851295931742,0.332522619473112,8.23556894763022,1.78706290103057e-16,1.09524414207505e-15
PPE3,18154.609497893,-5.11959760784235,0.247481087108918,-20.6868236585254,4.55231424311177e-95,7.39829552682269e-93
PPE30,840.505532777122,2.31453660809063,0.309215206761379,7.48519657985886,7.14401234830989e-14,3.57049100716697e-13
PPE32,1282.42998281118,1.57291821749958,0.296405422962761,5.30664453361636,1.11661627917111e-07,2.87731685277935e-07
PPE33,2114.27729634191,0.554713838233559,0.272220270848839,2.03773891086011,0.0415760506066394,0.0548106088137318
PPE34,3051.32255321526,1.42096948281601,0.261590669259535,5.43203428026787,5.57152158761849e-08,1.49281303254383e-07
PPE35,2272.56036898059,-0.95576137808733,0.392327476203333,-2.43613164017089,0.0148452808884169,0.0208977923617409
PPE36,876.6866087139,-0.499548871502827,0.331261049929369,-1.50802175990609,0.131548957939388,0.160660854824653
PPE37,1348.12345824697,3.23718226598792,0.367027133521229,8.82000803300468,1.14451510234847e-18,8.17287829904296e-18
PPE38,2276.66853591812,0.577237504061699,0.323494005784505,1.78438392594584,0.074361301179408,0.0944649090184771
PPE39,14085.2680815405,-4.57226775577271,0.417919725429739,-10.9405406769712,7.37587136665251e-28,9.00582428783246e-27
PPE4,12508.3770425182,-4.26350017980691,0.464496776075429,-9.1787508534065,4.36120950963847e-20,3.43718736102443e-19
PPE41,8362.4954862858,-4.91020179161502,0.357087475415525,-13.7506973211571,5.04409951860844e-43,1.2781097328603e-41
PPE42,957.414312114156,0.381252541291342,0.3122610993438,1.22094152006934,0.222108162482565,0.261111441701254
PPE43,906.783493920377,2.73920636900664,0.303934092027312,9.0125011996367,2.01409533107725e-19,1.49722891094118e-18
PPE44,1208.69082094231,1.22711212489262,0.310127387169326,3.95680025583368,7.59603947541171e-05,0.000141572241492704
PPE45,1153.4007066389,1.59960575286005,0.29061441368159,5.50422029174594,3.70805658684742e-08,1.00842877633075e-07
PPE46,1505.66726876075,3.04330278494277,0.296540164771211,10.2627001212155,1.03763998243364e-24,1.0608236957071e-23
PPE49,2144.50185978475,1.4145492099506,0.29627313363144,4.77447682350531,1.80175030399695e-06,4.05135934290918e-06
PPE5,7606.17296799258,-0.485998833902095,0.340520320054165,-1.42722417806018,0.153515287494382,0.185517320502826
PPE50,1789.2390551593,-2.46286073382954,0.24750239220697,-9.95085628008804,2.50022548821054e-23,2.34732325217854e-22
PPE51,3203.60617447859,-1.668098884545,0.281148428729747,-5.93316097152531,2.97157247085144e-09,9.07648804609387e-09
PPE52,3128.28146779444,-1.80993651075563,0.259472167895603,-6.97545530773015,3.04881792465225e-12,1.3050934494901e-11
PPE53,3166.53084249825,-1.28707828069482,0.495409949418233,-2.59800652410445,0.00937667124049585,0.0135392927562674
PPE54,11741.0142663813,0.0983641356146682,0.393643484409362,0.249881274580875,0.802679164665001,0.832715585090502
PPE55,14645.7380844352,-0.687421193590743,0.371221652991053,-1.85178097250515,0.0640572810158253,0.0822173108462921
PPE56,10673.724346677,1.25873899390452,0.227290855798006,5.53800983099452,3.05928093194184e-08,8.4170408828032e-08
PPE57,17.2530933470293,-2.0469808520993,0.952479904329768,-2.1491066035033,0.0316259504228246,0.0425137205769459
PPE59,8144.45850468852,-5.78930909134962,0.347722859894967,-16.649204752021,3.06650028528715e-62,1.62386694882678e-60
PPE6,2203.86090464406,0.368510669452383,0.297580991135517,1.23835419744457,0.21558475595325,0.253885795804014
PPE60,3399.54118078727,-1.59498895325186,0.247604306483621,-6.4416850252052,1.1815429130456e-10,4.26386810810406e-10
PPE61,1390.24193762027,2.20274820135943,0.280309157215239,7.85828127501386,3.89440023196456e-15,2.13919677077494e-14
PPE62,1752.57198425317,0.352784563484848,0.310816301103951,1.13502593728783,0.256364451025607,0.298037902734012
PPE63,936.691033906503,2.30171556702068,0.349363116940206,6.58831873032155,4.44834909829504e-11,1.6612574722872e-10
PPE64,1271.48772448012,0.674240257702459,0.301306210356582,2.23772439640234,0.0252390333035982,0.0344887109190659
PPE65,555.26985352331,3.09016600847576,0.412025600735055,7.4999369043159,6.38485597516081e-14,3.21493869774924e-13
PPE66,1009.31877525086,-0.842943141332872,0.328470114441399,-2.56627042848752,0.010279864799453,0.0147755421774389
PPE67,1353.77983688046,-1.87194652334711,0.251591510467428,-7.44042006770917,1.00365632078845e-13,4.94794167351041e-13
PPE68,17291.8962456853,-4.91488805660588,0.275041096808246,-17.8696497128662,2.03266680469014e-71,1.40881744860362e-69
PPE69,403.271292270975,2.31160449906494,0.400685506594506,5.76912431575492,7.96845075731822e-09,2.3355291305498e-08
PPE7,474.403048436251,0.696975032955343,0.304232565519215,2.29092842761871,0.021967553510816,0.0302462984798352
PPE8,9464.45797489248,-0.840289948783235,0.391604792142797,-2.14576012766674,0.0318921212698697,0.0428470831085792
RV1984a,1556.3383571988,-2.30663959698214,0.284750816340713,-8.10055481710077,5.47091050033197e-16,3.1832594059339e-15
Rv0004,666.156063146007,0.0824986355666772,0.305638043273802,0.269922666311445,0.78721974898989,0.818659902248312
Rv0007,2028.22920238508,-2.72163098742655,0.407573977159772,-6.67763679710997,2.42825917459272e-11,9.34998814530676e-11
Rv0008c,794.045786599243,2.38628484853611,0.318867411467269,7.48362724668418,7.22988329512357e-14,3.60958050528786e-13
Rv0010c,1766.39510394861,-1.45916784563939,0.252742197387677,-5.77334477867659,7.77131961949787e-09,2.27916797552542e-08
Rv0011c,2990.30710022743,-3.17885462243724,0.304500209122037,-10.4395810814147,1.63530753331889e-25,1.7717711274786e-24
Rv0012,1084.51964347803,0.0495343405362843,0.300601385779293,0.164784138994799,0.869113888618747,0.891626851776264
Rv0021c,1149.94638117769,2.14174994405748,0.294541417147446,7.2714729385081,3.55588618894689e-13,1.66423948445945e-12
Rv0023,804.052994442958,2.27518848337662,0.351757881741507,6.46805260513982,9.92739412755445e-11,3.60460774446565e-10
Rv0024,435.585302240101,0.530756467230883,0.314597269209752,1.68709813840441,0.0915844829619639,0.114827791487027
Rv0025,313.944828863012,0.440396523406326,0.461474126130765,0.954325494039797,0.339918907149654,0.384273880881823
Rv0026,1127.76327745176,0.285719986054956,0.258265152180893,1.10630483300679,0.268594600628485,0.310799497363627
Rv0027,303.69809183056,-2.58911877712503,0.332219829513176,-7.79339024079038,6.5234749458205e-15,3.51775027684805e-14
Rv0028,261.913937380794,-1.69320539319262,0.403699916596649,-4.19421784246827,2.7381474568268e-05,5.3860137579402e-05
Rv0029,1912.08168474121,-0.392368372437434,0.242131054124824,-1.62047934683818,0.105129347357159,0.130697603295777
Rv0030,505.9813787377,0.735843610776388,0.387247294184394,1.90019045149481,0.0574081308935983,0.0741882426382037
Rv0034,129.477873927354,3.40841637967296,0.605253273137384,5.63138859539765,1.78764432252398e-08,5.03897589237769e-08
