,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,133.532258702175,0.283301120022327,0.252960095694703,1.1199439154397,0.262737662614914,0.389271894515446
35kd_ag,4581.30075923055,-1.82934544674616,0.67168241111598,-2.72352739400568,0.00645888588744643,0.0294678123277992
C8,0.690142752913785,0.961214326438624,1.90583158004092,0.504354286341495,0.614012435762257,0.716675920705983
MTS2823,5.33194247299979,-0.498344247182331,0.827634816795035,-0.602130598024064,0.547087208419245,0.660551978940889
P55,1409.11799519201,-0.173238993454754,0.342108806083689,-0.506385659690897,0.61258593959389,0.715716922265584
PE1,432.524288076834,-0.108736320625217,0.238205806906774,-0.456480562070314,0.648044445461128,0.745550403589577
PE12,724.742406126032,-0.996208067941595,0.341280581678903,-2.9190294479716,0.00351123052585841,0.0204411489285213
PE13,1572.92073897349,0.183096439990426,0.425167398253186,0.430645531013629,0.666726129571428,0.762287598642742
PE14,59.3519488782535,1.30822288250192,0.36378273294408,3.59616541421448,0.000322942489911182,0.00521667851450384
PE15,101.182157479454,-1.4358461450399,0.546412130842377,-2.6277713542456,0.00859462629849283,0.0353110818322626
PE16,376.601230268837,-0.148045686268485,0.261958338139385,-0.565149738389744,0.571971920046021,0.682759923727067
PE17,620.344484427539,-0.878962012134224,0.371637970439068,-2.36510282061809,0.0180250658155995,0.0569130330255054
PE18,24.8208697057603,0.782360443537711,1.14107358745369,0.685635398224884,0.492943053695789,0.611239055054275
PE19,2962.51521720696,-0.391654847888314,0.458328005022533,-0.854529602372997,0.392811614590315,0.518265283161635
PE2,198.280863879691,0.459960347267342,0.191854959283022,2.39743788217022,0.0165101801165996,0.053632589218851
PE20,239.047703229542,0.228893365016793,0.274671208147408,0.833335851109493,0.404655342346777,0.529688196222187
PE22,204.240622039774,-0.980816779472807,0.419230515805063,-2.33956437448097,0.0193062440762101,0.059507659311672
PE23,320.27292712311,-0.412974726216898,0.167272339776311,-2.46887636514894,0.0135538037898287,0.0467566715286147
PE24,120.870776326777,0.669814406624526,0.432865691318714,1.54739546251391,0.121767914724041,0.2234578616875
PE25,690.59973695276,-0.770121643019717,0.5717192174956,-1.34702773573576,0.177971300084989,0.293907244697227
PE26,1033.81200417273,-0.936150942766574,0.427720039668221,-2.18870021496477,0.0286186363556563,0.0780703203869287
PE27,109.494079530508,0.401847074308781,0.298054218716303,1.34823481459013,0.17758287037769,0.293470574545253
PE29,77.6603966472999,1.093768470379,0.430213509217227,2.54238522720757,0.0110098753533079,0.0411505130828423
PE3,309.392704582532,0.470218686918799,0.310318291829188,1.51527866484141,0.129701848955477,0.234036923791946
PE31,388.771621032811,-0.125173739921359,0.444778491655227,-0.281429390741287,0.778381078122951,0.851809859596746
PE32,113.999760314407,0.340672634641152,0.38582559638879,0.882970538579462,0.377252189642825,0.502260088208014
PE33,26.218899733282,0.830314238821918,0.376582136674475,2.20486889302362,0.0274632959202743,0.0757040067505289
PE34,124.256927139064,0.0211932620131991,0.346276395689931,0.0612033112189848,0.951197292707284,0.967692256439593
PE35,592.882802777218,-1.54104843911536,0.490015293125512,-3.14489866078657,0.00166144371046097,0.0132946305394344
PE36,101.619513988565,-0.17792429948147,0.236029670232142,-0.753821751758903,0.450956260935085,0.573448678937602
PE4,261.452146990276,0.236427099385462,0.327267287195617,0.722428145542524,0.470031287774008,0.590021312640546
PE5,48.2369832989517,-2.52929400588597,0.512529723947393,-4.93492160104568,8.01829617213809e-07,0.000115001805402211
PE6,97.6316149349062,1.0026156526193,0.492796041960552,2.03454485679404,0.0418966907209908,0.101566545864165
PE7,79.4832841826645,-0.790262074072959,0.186497789478079,-4.23738038013501,2.26142831557983e-05,0.00118926002418215
PE8,135.15378003009,0.974220621037302,0.289723373470566,3.36258897363791,0.000772152385914372,0.00844017838922107
PE9,126.550965059042,0.666200362794221,0.411487814870438,1.61900386528817,0.105446431460686,0.201974083408914
PE_PGRS1,188.364124181372,0.862385051137531,0.33005573644819,2.61284672830676,0.00897915607498876,0.0363544445705062
PE_PGRS10,165.777818812043,-0.94520932507648,0.37951732863517,-2.49055643513214,0.0127543238399567,0.0452520350333695
PE_PGRS11,584.554014339263,-0.34876642660431,0.319249624286407,-1.09245681144928,0.274632363711412,0.400442075614946
PE_PGRS12,13.5529937852362,1.13136756509403,0.389502921704729,2.90464461766396,0.00367670304823926,0.0209408369763134
PE_PGRS13,14.5722344944634,1.35199900262221,0.490614975351729,2.75572306298426,0.00585625576485761,0.027765154398108
PE_PGRS14,364.120205198567,-0.125305775712274,0.23486682773138,-0.533518406675923,0.59367477282842,0.70106354785352
PE_PGRS15,542.777048024541,-1.10921187580402,0.427568666632916,-2.59423096771569,0.00948027761145415,0.0374229807631464
PE_PGRS16,314.948797871558,-0.0769727962263926,0.143449258342605,-0.536585529376216,0.591553941910511,0.699082348829575
PE_PGRS17,90.7482199113041,1.35530023873816,0.483697295853395,2.80195951136544,0.00507932479047247,0.0257542529845424
PE_PGRS18,134.544660685669,0.568218315075728,0.370755268646296,1.53259673733137,0.125375245890492,0.227968128620706
PE_PGRS19,32.0563989646633,1.73055573360428,0.447544741611302,3.86677704529325,0.000110283165538893,0.00296573990054308
PE_PGRS2,25.3269661779687,0.624175771113691,0.359608690423233,1.7357082510411,0.0826154338359211,0.168041522095663
PE_PGRS20,144.967267448943,0.422553729605689,0.294584065870804,1.43440796214351,0.151455876820369,0.262290766553534
PE_PGRS21,121.666699894181,0.372331231523732,0.258012583973974,1.44307392216687,0.148999648534193,0.259244817981083
PE_PGRS22,88.4869009337898,1.16708043936683,0.344481446569821,3.38793409917444,0.000704211821791778,0.00797614486638944
PE_PGRS23,104.362160643882,0.961761266198504,0.256263223574553,3.75302102573725,0.000174716194405164,0.00372572179293267
PE_PGRS24,86.1553381641587,0.833739262160476,0.321918397283759,2.58990871349787,0.00960013857386768,0.0377087454455752
PE_PGRS25,544.660699885387,-2.07298524623966,0.605804975698099,-3.42186896674274,0.000621922780710566,0.00752828777775731
PE_PGRS26,75.8548503580289,0.461185891559683,0.294360024880167,1.56674090426317,0.117175265555371,0.217486483087674
PE_PGRS27,46.0386240733028,0.96408540385846,0.374900058163629,2.57157976603374,0.0101235691352298,0.0389551648106037
PE_PGRS28,96.49500238174,0.972971331657845,0.387401924758438,2.51152942067734,0.0120209265343102,0.0435643532058884
PE_PGRS29,39.8798077465283,0.191430289363454,0.289731345568907,0.660716530300055,0.508794120815775,0.625648889015605
PE_PGRS30,479.749100192445,0.409387547633694,0.142509393224676,2.87270570991952,0.00406973028003979,0.0223977132737539
PE_PGRS31,198.529964837971,0.71519691618243,0.305718119249045,2.33939982994536,0.0193147503302802,0.059507659311672
PE_PGRS32,424.501180635078,0.0405073661504094,0.172383896336553,0.234983470099347,0.814221563000222,0.877238938693387
PE_PGRS33,77.8118512108012,-0.844064466091106,0.396435946667849,-2.12913201536262,0.0332433396382997,0.086403991189442
PE_PGRS34,41.3267264241864,0.0257836789778999,0.344125978153996,0.0749251164245488,0.940274292703752,0.9611918417639
PE_PGRS35,523.961452322427,-0.192780215325452,0.164784620929645,-1.16989203384313,0.242044420092122,0.368014664239722
PE_PGRS37,26.3130126951738,1.77965367625201,0.590037336143656,3.01617129499534,0.00255988600872833,0.0167810809962759
PE_PGRS38,242.705176225486,0.106133208529421,0.259128734333058,0.409577150147339,0.682116161569126,0.774210022231816
PE_PGRS39,273.341187232195,-0.184911662308748,0.268717680720597,-0.688126147162653,0.49137334610149,0.610091827675329
PE_PGRS4,95.1075055453141,0.245978871825662,0.269815563903522,0.911655607508311,0.361950039775497,0.49016009678324
PE_PGRS40,50.9254335657093,0.345649801942142,0.354938999239463,0.973828749962034,0.330141575567947,0.458489652655478
PE_PGRS41,417.29643562859,-0.939650086209895,0.339491121557206,-2.76781932293201,0.00564327314212791,0.027143914412288
PE_PGRS42,85.1933952929845,0.848764656923298,0.341528337339066,2.48519541170797,0.0129480337498098,0.0455988629598934
PE_PGRS43,81.2684341188086,1.19544465234519,0.449684144887733,2.65840961024685,0.00785104076252547,0.0331776570794938
PE_PGRS44,325.073525929329,-0.850274799780977,0.300175808283861,-2.83258935702412,0.00461726590634047,0.0242816883718994
PE_PGRS45,111.334529997,1.61669802711857,0.304860171919834,5.30308048092189,1.13864691115141e-07,2.83642938446297e-05
PE_PGRS46,291.672117431057,0.560584692430857,0.192383048545003,2.91389858238848,0.00356945846876128,0.0205776454721646
PE_PGRS47,299.145262167294,0.282617132019188,0.186295307878359,1.51703837975201,0.129256994316484,0.233412191568073
PE_PGRS48,191.952512332472,-0.245418020807393,0.177150591836791,-1.38536382104496,0.165941247800903,0.27870827744559
PE_PGRS49,1.63025339640586,1.8670751370383,0.778254253429219,2.39905548708718,0.0164374236730569,0.0534329163767707
PE_PGRS5,160.158338288297,-0.0175361976892272,0.270510436206972,-0.06482632587162,0.948312280517543,0.965862281835491
PE_PGRS50,73.2995807440215,1.16160150238198,0.395779146591172,2.93497399341729,0.00333575644586792,0.0198343407767498
PE_PGRS51,212.082012292758,0.140458708383929,0.250052239278032,0.56171745867772,0.574308537338147,0.684513298217439
PE_PGRS52,25.8081967486905,1.09209076720275,0.324355662004639,3.36695453519516,0.000760032173892901,0.00836565646287232
PE_PGRS53,65.946339111656,0.742306540737937,0.394647529223093,1.88093548235117,0.0599806957808737,0.131247634364713
PE_PGRS54,138.600211571416,-0.340933803468051,0.238413149257214,-1.43001258332539,0.152713407577061,0.263502417901354
PE_PGRS55,118.525721227723,0.712695802142564,0.272724823944177,2.61324140514778,0.00896879271669511,0.0363435752809229
