,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MtCM,343.946162497867,0.302732644852203,0.19903106636982,1.52103212012991,0.128251777052874,0.15275581981894
35kd_ag,14481.4211045311,-5.55972853523967,0.450129467179716,-12.3513987432863,4.78717899668124e-35,1.89253143002132e-33
C8,0.44251587706015,-2.1640331858757,1.18230676604605,-1.83034830555254,0.067197872426944,0.0838250609501505
MTS2823,15.4436926048372,-5.38328297161379,0.702274686262626,-7.66549482263502,1.78143052627444e-14,1.17703431986713e-13
P55,3145.73533532619,-1.39418687052342,0.275350562104044,-5.06331586857853,4.12026329600477e-07,1.09443051938671e-06
PE1,943.488793624329,-0.13380827679085,0.161620328616964,-0.827917366187098,0.407717299268039,0.444441835415344
PE12,1614.89611072893,-2.01637336031281,0.221973006046503,-9.08386743156681,1.04783882946137e-19,1.07363874880448e-18
PE13,1989.7759924563,-1.80895512501113,0.46688375951927,-3.87452998338116,0.000106830690040714,0.000193289394947805
PE14,202.823116704585,1.48072680705215,0.245425466171159,6.03330546806214,1.60639342300085e-09,5.98173500684149e-09
PE15,271.74555030826,-1.33776735083299,0.370179255577335,-3.61383662287234,0.000301699211889369,0.0005165142768687
PE16,901.265825065832,0.484413270932018,0.232449106677465,2.08395410873385,0.0371643418008739,0.047883660375705
PE17,1280.42048554932,-2.2129223496098,0.244650855324058,-9.04522629474818,1.49355489527331e-19,1.51075147615706e-18
PE18,26.9408168660496,2.41414332255705,2.50649690265924,0.963154321074881,0.335470084683214,0.370799180274271
PE19,5254.88789329165,-3.00842864946901,0.363971082950481,-8.26557050928771,1.39028240196478e-16,1.08836628959091e-15
PE2,562.552259267531,0.608685326728786,0.122391264090085,4.97327428762209,6.58314128556143e-07,1.69879566579893e-06
PE20,630.944805919795,-0.421838932438793,0.350170441516846,-1.20466744883291,0.228331707011903,0.259948552451276
PE22,364.900183686622,-0.89495911476172,0.329009615883243,-2.7201609666002,0.00652501447524029,0.0093830459747014
PE23,1029.46634276637,-0.813238415863554,0.24941149388589,-3.26062926448621,0.00111165283804654,0.00177028568771158
PE24,388.564671745822,1.59019922685451,0.382855362426723,4.15352475873672,3.27392770927394e-05,6.37582637635287e-05
PE25,1366.37990308414,-3.43827569378347,0.444865946940342,-7.72879047594209,1.08573201811129e-14,7.31635325840902e-14
PE26,2365.08816236573,-2.74910196564221,0.26569817770017,-10.3467099000749,4.33114598595717e-25,7.06080981353292e-24
PE27,330.421423239539,0.670814151345491,0.24609291515756,2.72585722720219,0.0064134733618562,0.00923384450034774
PE29,282.158285913976,1.85966278539704,0.342063163963656,5.43660639704141,5.43049171115324e-08,1.62026746400698e-07
PE3,894.89091041176,1.19989038629975,0.256144451673123,4.68442856545249,2.80742054293779e-06,6.46210725652444e-06
PE31,564.571994165476,-1.15705286032928,0.309671848793726,-3.73638373922713,0.000186685703418666,0.000327770901931218
PE32,321.408164959921,0.301768675174518,0.326410285204717,0.924507250086361,0.355222278489796,0.391354967291127
PE33,90.0864410007737,0.964271637427983,0.240917528003582,4.00249681050042,6.2677513071357e-05,0.000117294722686595
PE34,438.782357734177,0.850895341211545,0.19277912707207,4.41383542987744,1.01555170004294e-05,2.13270352589806e-05
PE35,1194.90099030563,-2.87875707154103,0.292560398023075,-9.83987269293356,7.58067008356041e-23,1.04239706888147e-21
PE36,276.891068179072,-0.462531662373869,0.182879145620941,-2.52916570013167,0.0114334034791095,0.0159248579286247
PE4,772.036228035715,1.03619673261731,0.270603361215874,3.82920865417735,0.000128555977039602,0.000229879214125846
PE5,129.605023032267,-4.71545121232831,0.42507030554194,-11.0933442088277,1.35139302157514e-28,3.03839265135188e-27
